Date,Campaign,Source,Sessions,Conversions,Bounce_Rate,CTR
2025-10-15,Newsletter_Weekly,Email,2657,53,43.34,0.0
2025-10-15,Newsletter_Weekly,Email,3154,83,45.67,0.0
2025-10-15,Newsletter_Weekly,Email,2538,99,50.54,0.0
2025-10-15,None,Organic Search,3596,164,53.99,0.0
2025-10-15,New_Year_Promo,Paid Ads,639,10,45.4,2.49
2025-10-15,None,Social Media,3411,167,30.98,0.0
2025-10-15,None,Referral,2809,74,36.74,0.0
2025-10-15,New_Year_Promo,Paid Ads,2288,66,67.48,3.13
2025-10-15,None,Organic Search,2354,80,48.01,0.0
2025-10-16,Newsletter_Weekly,Email,2106,34,60.8,0.0
2025-10-16,None,Organic Search,3545,38,54.21,0.0
2025-10-16,Newsletter_Weekly,Email,3097,130,35.17,0.0
2025-10-16,Retargeting_Q1,Paid Ads,1876,83,42.91,2.06
2025-10-16,None,Social Media,3682,113,34.45,0.0
2025-10-17,None,Social Media,3613,72,43.22,0.0
2025-10-17,None,Social Media,348,8,61.48,0.0
2025-10-17,None,Organic Search,103,4,62.55,0.0
2025-10-17,None,Social Media,2190,27,43.67,0.0
2025-10-17,None,Referral,4745,73,45.63,0.0
2025-10-17,None,Social Media,4336,130,62.51,0.0
2025-10-17,Newsletter_Weekly,Email,4656,213,61.25,0.0
2025-10-17,None,Referral,3380,157,38.42,0.0
2025-10-17,None,Referral,3775,82,58.17,0.0
2025-10-18,None,Referral,2001,58,39.81,0.0
2025-10-18,None,Referral,3036,88,34.19,0.0
2025-10-18,None,Social Media,1524,27,58.79,0.0
2025-10-18,None,Social Media,2371,102,44.4,0.0
2025-10-18,None,Referral,1206,30,43.01,0.0
2025-10-18,Winter_Sale,Paid Ads,1915,25,65.2,1.37
2025-10-18,Winter_Sale,Paid Ads,2292,53,68.37,1.95
2025-10-18,None,Social Media,3325,67,68.79,0.0
2025-10-18,None,Organic Search,3678,98,53.03,0.0
2025-10-19,None,Organic Search,4111,97,45.09,0.0
2025-10-19,None,Organic Search,4052,87,63.19,0.0
2025-10-19,Winter_Sale,Paid Ads,4150,104,60.16,2.81
2025-10-19,None,Organic Search,3186,131,63.0,0.0
2025-10-19,None,Organic Search,824,12,62.83,0.0
2025-10-19,New_Year_Promo,Paid Ads,1657,69,38.78,3.22
2025-10-20,None,Organic Search,4679,225,60.61,0.0
2025-10-20,None,Referral,2914,44,48.14,0.0
2025-10-20,Winter_Sale,Paid Ads,3644,138,38.96,1.23
2025-10-20,None,Organic Search,1269,14,49.43,0.0
2025-10-20,None,Organic Search,3412,44,42.62,0.0
2025-10-20,None,Social Media,2065,86,64.25,0.0
2025-10-20,New_Year_Promo,Paid Ads,3698,145,30.13,1.62
2025-10-20,None,Social Media,4604,151,56.64,0.0
2025-10-20,None,Social Media,453,12,40.07,0.0
2025-10-20,New_Year_Promo,Paid Ads,336,15,54.86,3.02
2025-10-21,Winter_Sale,Paid Ads,825,10,60.26,3.02
2025-10-21,None,Organic Search,3150,91,31.6,0.0
2025-10-21,Winter_Sale,Paid Ads,2608,66,62.49,1.12
2025-10-21,None,Social Media,3413,113,48.85,0.0
2025-10-21,None,Referral,2093,64,58.82,0.0
2025-10-21,None,Social Media,4426,187,52.08,0.0
2025-10-22,New_Year_Promo,Paid Ads,3930,43,68.52,3.58
2025-10-22,Newsletter_Weekly,Email,3027,132,55.5,0.0
2025-10-22,Retargeting_Q1,Paid Ads,1341,42,40.29,1.75
2025-10-22,None,Referral,3629,65,43.48,0.0
2025-10-22,Newsletter_Weekly,Email,4842,134,54.31,0.0
2025-10-22,None,Organic Search,1520,28,66.3,0.0
2025-10-22,New_Year_Promo,Paid Ads,1162,30,55.85,2.4
2025-10-22,Newsletter_Weekly,Email,2284,105,43.71,0.0
2025-10-23,None,Social Media,4867,96,33.71,0.0
2025-10-23,None,Organic Search,4269,157,62.97,0.0
2025-10-23,None,Referral,3022,65,37.98,0.0
2025-10-23,None,Organic Search,1439,38,68.61,0.0
2025-10-23,None,Referral,3568,81,66.43,0.0
2025-10-23,None,Social Media,3222,82,31.13,0.0
2025-10-23,Retargeting_Q1,Paid Ads,3692,106,38.27,4.92
2025-10-24,None,Social Media,3436,134,40.08,0.0
2025-10-24,Newsletter_Weekly,Email,4979,109,66.35,0.0
2025-10-24,None,Organic Search,4191,195,32.36,0.0
2025-10-24,None,Organic Search,171,6,36.63,0.0
2025-10-24,None,Referral,1297,34,36.34,0.0
2025-10-25,None,Social Media,4180,130,64.02,0.0
2025-10-25,Retargeting_Q1,Paid Ads,3160,131,67.38,4.25
2025-10-25,Newsletter_Weekly,Email,363,6,51.46,0.0
2025-10-25,Newsletter_Weekly,Email,3316,57,35.67,0.0
2025-10-25,None,Organic Search,1101,27,52.07,0.0
2025-10-25,None,Social Media,3279,52,67.96,0.0
2025-10-26,None,Referral,1534,58,53.2,0.0
2025-10-26,Newsletter_Weekly,Email,2723,89,49.03,0.0
2025-10-26,None,Social Media,1053,20,36.52,0.0
2025-10-26,None,Organic Search,802,24,31.74,0.0
2025-10-26,None,Social Media,785,17,51.47,0.0
2025-10-26,None,Social Media,3882,73,52.36,0.0
2025-10-26,None,Referral,4121,166,35.81,0.0
2025-10-26,Newsletter_Weekly,Email,1810,74,60.32,0.0
2025-10-26,None,Referral,2936,102,38.87,0.0
2025-10-27,Retargeting_Q1,Paid Ads,4818,226,50.08,3.91
2025-10-27,Newsletter_Weekly,Email,760,13,32.78,0.0
2025-10-27,Newsletter_Weekly,Email,2692,71,64.19,0.0
2025-10-27,None,Referral,2681,49,38.99,0.0
2025-10-27,None,Social Media,1681,17,50.41,0.0
2025-10-28,None,Referral,2040,43,51.9,0.0
2025-10-28,None,Referral,1583,74,39.55,0.0
2025-10-28,None,Social Media,2018,91,42.99,0.0
2025-10-28,Retargeting_Q1,Paid Ads,740,22,54.29,2.73
2025-10-28,None,Organic Search,863,34,49.65,0.0
2025-10-29,None,Organic Search,2024,85,47.38,0.0
2025-10-29,None,Social Media,4786,80,60.9,0.0
2025-10-29,Winter_Sale,Paid Ads,777,38,40.39,1.1
2025-10-29,Newsletter_Weekly,Email,4696,98,54.39,0.0
2025-10-29,Newsletter_Weekly,Email,2014,93,47.92,0.0
2025-10-30,None,Referral,550,17,44.88,0.0
2025-10-30,Retargeting_Q1,Paid Ads,3831,155,64.81,1.56
2025-10-30,Retargeting_Q1,Paid Ads,1289,14,44.92,3.31
2025-10-30,New_Year_Promo,Paid Ads,2618,120,62.61,3.37
2025-10-30,None,Referral,1159,56,68.88,0.0
2025-10-30,Newsletter_Weekly,Email,3375,147,47.44,0.0
2025-10-30,Winter_Sale,Paid Ads,1834,52,66.69,1.96
2025-10-30,None,Organic Search,4059,162,43.52,0.0
2025-10-31,Retargeting_Q1,Paid Ads,4602,54,36.66,4.22
2025-10-31,None,Social Media,2913,82,63.69,0.0
2025-10-31,New_Year_Promo,Paid Ads,1631,42,54.92,2.77
2025-10-31,None,Social Media,1122,38,64.23,0.0
2025-10-31,Retargeting_Q1,Paid Ads,110,2,30.79,3.85
2025-10-31,None,Referral,629,13,66.11,0.0
2025-10-31,None,Referral,1739,58,66.48,0.0
2025-10-31,None,Referral,1128,20,30.28,0.0
2025-10-31,Newsletter_Weekly,Email,4893,241,46.64,0.0
2025-11-01,New_Year_Promo,Paid Ads,1630,26,60.4,1.3
2025-11-01,None,Organic Search,4660,67,55.54,0.0
2025-11-01,None,Social Media,754,9,62.81,0.0
2025-11-01,None,Organic Search,2922,35,54.52,0.0
2025-11-01,None,Social Media,1557,65,65.82,0.0
2025-11-01,Newsletter_Weekly,Email,2158,103,42.25,0.0
2025-11-01,None,Social Media,4237,48,37.23,0.0
2025-11-01,Newsletter_Weekly,Email,3048,90,37.53,0.0
